dtm_name,image_id1,image_id2,url
DTEEC_012991_1335_013624_1335_A02,ESP_012991_1335,ESP_013624_1335,https://www.uahirise.org/PDS/DTM/ESP/ORB_012900_012999/ESP_012991_1335_ESP_013624_1335/
DTEEC_012993_1725_013059_1725_A01,ESP_012993_1725,ESP_013059_1725,https://www.uahirise.org/PDS/DTM/ESP/ORB_012900_012999/ESP_012993_1725_ESP_013059_1725/
DTEEC_013017_1325_013083_1325_U01,ESP_013017_1325,ESP_013083_1325,https://www.uahirise.org/PDS/DTM/ESP/ORB_013000_013099/ESP_013017_1325_ESP_013083_1325/
DTEEC_013019_1450_012874_1450_A01,ESP_013019_1450,ESP_012874_1450,https://www.uahirise.org/PDS/DTM/ESP/ORB_013000_013099/ESP_013019_1450_ESP_012874_1450/
DTEEC_013029_1235_013306_1235_A01,ESP_013029_1235,ESP_013306_1235,https://www.uahirise.org/PDS/DTM/ESP/ORB_013000_013099/ESP_013029_1235_ESP_013306_1235/
DTEPC_013097_1115_013585_1115_U01,ESP_013097_1115,ESP_013585_1115,https://www.uahirise.org/PDS/DTM/ESP/ORB_013000_013099/ESP_013097_1115_ESP_013585_1115/
DTEEC_013104_1895_012959_1895_U01,ESP_013104_1895,ESP_012959_1895,https://www.uahirise.org/PDS/DTM/ESP/ORB_013100_013199/ESP_013104_1895_ESP_012959_1895/
DTEPD_013145_1070_013277_1070_A01,ESP_013145_1070,ESP_013277_1070,https://www.uahirise.org/PDS/DTM/ESP/ORB_013100_013199/ESP_013145_1070_ESP_013277_1070/
DTEEC_013146_1415_013001_1415_A01,ESP_013146_1415,ESP_013001_1415,https://www.uahirise.org/PDS/DTM/ESP/ORB_013100_013199/ESP_013146_1415_ESP_013001_1415/
DTEED_013208_1445_012707_1445_G01,ESP_013208_1445,ESP_012707_1445,https://www.uahirise.org/PDS/DTM/ESP/ORB_013200_013299/ESP_013208_1445_ESP_012707_1445/
DTEED_013213_1705_013635_1705_A01,ESP_013213_1705,ESP_013635_1705,https://www.uahirise.org/PDS/DTM/ESP/ORB_013200_013299/ESP_013213_1705_ESP_013635_1705/
DTEEC_013222_1410_013288_1410_A01,ESP_013222_1410,ESP_013288_1410,https://www.uahirise.org/PDS/DTM/ESP/ORB_013200_013299/ESP_013222_1410_ESP_013288_1410/
DTEEC_013268_1330_013123_1330_A01,ESP_013268_1330,ESP_013123_1330,https://www.uahirise.org/PDS/DTM/ESP/ORB_013200_013299/ESP_013268_1330_ESP_013123_1330/
DTEEC_013341_1455_013763_1455_G01,ESP_013341_1455,ESP_013763_1455,https://www.uahirise.org/PDS/DTM/ESP/ORB_013300_013399/ESP_013341_1455_ESP_013763_1455/
